"","Cell_ID","Tissue","Timepoint","Treatment1","Treatment2","ratio","SE","df","null","p.value","significance"
"177","Neutrophils","Spleen","144","Pam1ug","Saline+NTHi",2.34968680357187,0.760344055924928,Inf,1,0.0260575007926777,"*"
"178","Neutrophils","Spleen","144","Pam1ug+IAV","Pam1ug+IAV+NTHi",0.831927473572676,0.26593547327445,Inf,1,0.668814484974588,""
"179","Neutrophils","Spleen","144","Pam1ug+IAV","Pam1ug+NTHi",3.13951707627476,1.0091629693916,Inf,1,0.00272778245084008,"**"
"180","Neutrophils","Spleen","144","Pam1ug+IAV","Saline",1.61823015310284,0.517979281468717,Inf,1,0.265295162371089,""
"181","Neutrophils","Spleen","144","Pam1ug+IAV","Saline+IAV",1.05712859667264,0.336734757376365,Inf,1,0.917125923232275,""
"182","Neutrophils","Spleen","144","Pam1ug+IAV","Saline+IAV+NTHi",0.698581434769471,0.223614420375801,Inf,1,0.412430364434228,""
"183","Neutrophils","Spleen","144","Pam1ug+IAV","Saline+NTHi",3.19496722943992,1.0308546651641,Inf,1,0.00262408618785354,"**"
"184","Neutrophils","Spleen","144","Pam1ug+IAV+NTHi","Pam1ug+NTHi",3.77378698985892,1.21786764651091,Inf,1,0.000608130281209181,"***"
"185","Neutrophils","Spleen","144","Pam1ug+IAV+NTHi","Saline",1.94515772649438,0.625122819561801,Inf,1,0.0939239791601823,""
"186","Neutrophils","Spleen","144","Pam1ug+IAV+NTHi","Saline+IAV",1.27069802387082,0.40640488653676,Inf,1,0.637291287162981,""
"187","Neutrophils","Spleen","144","Pam1ug+IAV+NTHi","Saline+IAV+NTHi",0.839714346455519,0.269868324687127,Inf,1,0.668814484974588,""
"188","Neutrophils","Spleen","144","Pam1ug+IAV+NTHi","Saline+NTHi",3.84043961875579,1.24400704568994,Inf,1,0.000608130281209181,"***"
"189","Neutrophils","Spleen","144","Pam1ug+NTHi","Saline",0.51543919456013,0.166559106675199,Inf,1,0.0949323816862222,""
"190","Neutrophils","Spleen","144","Pam1ug+NTHi","Saline+IAV",0.336716944354701,0.108288462959955,Inf,1,0.00335959005269068,"**"
"191","Neutrophils","Spleen","144","Pam1ug+NTHi","Saline+IAV+NTHi",0.22251238575787,0.0719046151060936,Inf,1,0.000109324284352361,"***"
"192","Neutrophils","Spleen","144","Pam1ug+NTHi","Saline+NTHi",1.01766200081668,0.331427981776682,Inf,1,0.959492101031996,""
"193","Neutrophils","Spleen","144","Saline","Saline+IAV",0.653262204171438,0.209209360165073,Inf,1,0.327650940747598,""
"194","Neutrophils","Spleen","144","Saline","Saline+IAV+NTHi",0.431694733551956,0.138922408266152,Inf,1,0.0270987992801574,"*"
"195","Neutrophils","Spleen","144","Saline","Saline+NTHi",1.97435897688212,0.640373102594162,Inf,1,0.0939239791601823,""
"196","Neutrophils","Spleen","144","Saline+IAV","Saline+IAV+NTHi",0.660829190477189,0.211638888183698,Inf,1,0.340139659376351,""
"197","Neutrophils","Spleen","144","Saline+IAV","Saline+NTHi",3.02230706793498,0.975636614477147,Inf,1,0.00310744555074621,"**"
